"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 31 11:20:04 GMT 2021","Tue Aug 31 11:20:14 GMT 2021","10063","","TestsWithProperties","","element does not appear","","element does not appear",""
"failed","Tue Aug 31 11:20:14 GMT 2021","Tue Aug 31 11:20:25 GMT 2021","10635","","TestsWithProperties","","isDisplayed element","","isDisplayed element",""
"broken","Tue Aug 31 11:17:41 GMT 2021","Tue Aug 31 11:17:52 GMT 2021","10662","","TestsWithName","","clear element","","clear element",""
"passed","Tue Aug 31 11:16:45 GMT 2021","Tue Aug 31 11:16:56 GMT 2021","10263","","TestsWithLocators","","element does not appear","","element does not appear",""
"passed","Tue Aug 31 11:16:44 GMT 2021","Tue Aug 31 11:16:45 GMT 2021","446","","TestsWithLocators","","isEnabled element","","isEnabled element",""
"passed","Tue Aug 31 11:18:25 GMT 2021","Tue Aug 31 11:18:25 GMT 2021","102","","TestsWithName","","isHidden element","","isHidden element",""
"failed","Tue Aug 31 11:17:52 GMT 2021","Tue Aug 31 11:18:03 GMT 2021","10607","","TestsWithName","","css element","","css element",""
"broken","Tue Aug 31 11:17:19 GMT 2021","Tue Aug 31 11:17:30 GMT 2021","10999","","TestsWithName","","labelText","","labelText",""
"passed","Tue Aug 31 11:17:18 GMT 2021","Tue Aug 31 11:17:19 GMT 2021","379","","TestsWithName","","value element","","value element",""
"broken","Tue Aug 31 11:17:30 GMT 2021","Tue Aug 31 11:17:40 GMT 2021","10512","","TestsWithName","","input element","","input element",""
"passed","Tue Aug 31 11:16:45 GMT 2021","Tue Aug 31 11:16:45 GMT 2021","296","","TestsWithLocators","","isHidden element","","isHidden element",""
"failed","Tue Aug 31 11:19:31 GMT 2021","Tue Aug 31 11:19:42 GMT 2021","10581","","TestsWithProperties","","css element","","css element",""
"passed","Tue Aug 31 11:18:56 GMT 2021","Tue Aug 31 11:18:56 GMT 2021","561","","TestsWithProperties","","click element","","click element",""
"broken","Tue Aug 31 11:18:45 GMT 2021","Tue Aug 31 11:18:56 GMT 2021","10501","","TestsWithName","","setText element","","setText element",""
"passed","Tue Aug 31 11:20:03 GMT 2021","Tue Aug 31 11:20:04 GMT 2021","334","","TestsWithProperties","","isEnabled element","","isEnabled element",""
"passed","Tue Aug 31 11:20:04 GMT 2021","Tue Aug 31 11:20:04 GMT 2021","260","","TestsWithProperties","","isDisabled element","","isDisabled element",""
"failed","Tue Aug 31 11:19:42 GMT 2021","Tue Aug 31 11:19:52 GMT 2021","10532","","TestsWithProperties","","placeholder element","","placeholder element",""
"passed","Tue Aug 31 11:18:24 GMT 2021","Tue Aug 31 11:18:24 GMT 2021","112","","TestsWithName","","getAttribute element","","getAttribute element",""
"passed","Tue Aug 31 11:18:24 GMT 2021","Tue Aug 31 11:18:24 GMT 2021","120","","TestsWithName","","getText element","","getText element",""
"passed","Tue Aug 31 11:18:24 GMT 2021","Tue Aug 31 11:18:25 GMT 2021","219","","TestsWithName","","isDisabled element","","isDisabled element",""
